Name,Description,Price,Image URL
Honda Stream,"2004 г., 2 л., автомат, компактвэн, бензин, руль справа, 250 000 км",$ 6 600,https://im.mashina.kg/tachka/images//1/3/b/13b0a6f92c149bcbaf498a4a99f451c4_240x180.jpg
Volkswagen Golf,"1996 г., 1.6 л., механика, хэтчбек 5 дв., бензин, руль слева, 200 000 км",$ 3 850,https://im.mashina.kg/tachka/images//e/1/1/e11835a18a851071e79db4a5dfe43839_240x180.jpg
Hyundai Solaris,"2013 г., 1.6 л., механика, седан, бензин, руль слева, 215 000 км",$ 6 800,https://im.mashina.kg/tachka/images//2/6/b/26b7e05cbf387ce433498016e91ac6b9_240x180.jpg
Toyota RAV4,"2019 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 64 000 км",$ 42 000,https://im.mashina.kg/tachka/images//8/d/5/8d5ac63937f04a8b36d42f60f380ecdb_240x180.jpg
Volvo S60,"2004 г., 2.5 л., автомат, седан, бензин, руль слева, 126 500 км",$ 6 300,https://im.mashina.kg/tachka/images//4/2/f/42f29b704b9293cb4f2a32ac7e15547b_240x180.jpg
Jetour Jetour X70M,"2023 г., 1.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 20 км",$ 23 000,https://im.mashina.kg/tachka/images//6/4/9/649a67cd60dfb58bfd873d15ae50bce3_240x180.jpg
Toyota RAV4,"2017 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 55 000 км",$ 28 000,https://im.mashina.kg/tachka/images//1/6/2/162e1e2ebe19579ef83c0ead9c6fb652_240x180.jpg
Hyundai Sonata,"2016 г., 2.4 л., автомат, седан, бензин, руль слева, 54 000 км",$ 16 500,https://im.mashina.kg/tachka/images//e/2/0/e20fd7fd0e601d09e7262cf84d6135b2_240x180.jpg
Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 143 231 км",$ 14 550,https://im.mashina.kg/tachka/images//6/7/1/6713c88be67b3b49544376d20f183053_240x180.jpg
Toyota RAV4,"2018 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 151 000 км",$ 27 000,https://im.mashina.kg/tachka/images//d/a/2/da2a5696a252925205176e8ea06574a6_240x180.jpg
Mercedes-Benz A-Класс,"2009 г., 1.5 л., вариатор, хэтчбек 5 дв., бензин, руль слева, 250 000 км",$ 8 500,https://im.mashina.kg/tachka/images//9/b/3/9b3c86eeead560f1d4708b9b0c58a9e7_240x180.jpg
Subaru Forester,"2017 г., 2.5 л., вариатор, внедорожник 5 дв., бензин, руль слева, 85 000 км",$ 18 500,https://im.mashina.kg/tachka/images//1/8/8/188d7df904b39630deff37ac737f318f_240x180.jpg
Hyundai Sonata,"2016 г., 2 л., автомат, седан, газ, руль слева, 300 000 км",$ 10 800,https://im.mashina.kg/tachka/images//2/b/2/2b2a17208db926ee98ca62a328d95502_240x180.jpg
Subaru XV,"2017 г., 2 л., вариатор, внедорожник 5 дв., бензин, руль слева, 80 000 км",$ 19 500,https://im.mashina.kg/tachka/images//a/c/9/ac9a8ec4fce40d85dd5a864b260bdca9_240x180.jpg
Chevrolet Volt,"2013 г., 1.4 л., вариатор, хэтчбек 5 дв., гибрид, руль слева, 142 000 км",$ 14 500,https://im.mashina.kg/tachka/images//f/3/a/f3a82db0d1b65908415ea4f81a32bc39_240x180.jpg
Toyota Avalon,"2016 г., 2.5 л., вариатор, седан, гибрид, руль слева, 144 000 км",$ 22 800,https://im.mashina.kg/tachka/images//4/a/b/4ab1ba8aa5dbfe6201025e1acf424507_240x180.jpg
Subaru Legacy,"2016 г., 2.5 л., вариатор, седан, бензин, руль слева, 163 000 км",$ 16 500,https://im.mashina.kg/tachka/images//a/1/7/a1764b0a68e217841e5d5ae84cc7c7c8_240x180.jpg
Toyota RAV4,"2016 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 54 000 км",$ 24 800,https://im.mashina.kg/tachka/images//b/6/b/b6bf4bfd53d5decb3196712541da09d9_240x180.jpg
Hyundai Elantra,"2017 г., 2 л., автомат, седан, бензин, руль слева, 33 000 км",$ 14 500,https://im.mashina.kg/tachka/images//c/9/3/c9344298ccef70c7b8c84b6f3f7596ce_240x180.jpg
Lexus NX,"2017 г., 2 л., автомат, внедорожник 5 дв., бензин, руль слева, 33 000 км",$ 31 800,https://im.mashina.kg/tachka/images//0/2/9/029c8372960c87b6dc80f2dceb73aa1e_240x180.jpg
Kia K5 II Седан,"2016 г., 2 л., автомат, седан, газ, руль слева, 152 174 км",$ 13 800,https://im.mashina.kg/tachka/images//f/8/3/f8309cf0c7f7f41935147356f126e6eb_240x180.jpg
Toyota Land Cruiser,"2014 г., 4.6 л., автомат, внедорожник 5 дв., бензин, руль слева, 85 000 км",$ 45 000,https://im.mashina.kg/tachka/images//f/7/e/f7e094ac7d173ca13a56689217dd8720_240x180.jpg
Toyota Camry,"2016 г., 2.5 л., вариатор, седан, гибрид, руль слева, 91 000 км",$ 23 900,https://im.mashina.kg/tachka/images//5/3/2/5325c97ccdfa9bb49f7fa56dff4e09fc_240x180.jpg
Kia Carnival,"2017 г., 2.2 л., автомат, минивэн, дизель, руль слева, 136 000 км",$ 25 500,https://im.mashina.kg/tachka/images//e/d/2/ed2079903b9635b5c1f9bf74f6fca855_240x180.jpg
Toyota Camry,"2016 г., 2.5 л., автомат, седан, бензин, руль слева, 109 000 км",$ 15 900,https://im.mashina.kg/tachka/images//c/d/c/cdc43dea57349a96a0a64d80674ca9d9_240x180.jpg
Hyundai Santa Fe,"2016 г., 2 л., автомат, внедорожник 5 дв., дизель, руль слева, 139 000 км",$ 18 500,https://im.mashina.kg/tachka/images//1/2/0/120b54149976c1b5ffa1bd06d2e8179e_240x180.jpg
Subaru Forester,"2019 г., 2.5 л., вариатор, внедорожник 5 дв., бензин, руль слева, 150 000 км",$ 23 000,https://im.mashina.kg/tachka/images//7/6/6/7664e7e9859de5ee2fbd97b4364d70c2_240x180.jpg
Honda CR-V,"2017 г., 2.4 л., вариатор, внедорожник 5 дв., бензин, руль слева, 40 000 км",$ 22 900,https://im.mashina.kg/tachka/images//f/7/f/f7fda65fb1805a8a488bc9a4a8fbe31e_240x180.jpg
Toyota Highlander,"2011 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 160 000 км",$ 25 000,https://im.mashina.kg/tachka/images//1/d/2/1d23bda3f308b4bd52db0b9d3fd3c64a_240x180.jpg
Mercedes-Benz S-класс,"2004 г., 3.7 л., автомат, седан, бензин, руль слева, 220 000 км",$ 10 000,https://im.mashina.kg/tachka/images//7/b/6/7b62f8a684f6aa24b8945599fd382095_240x180.jpg
Toyota RAV4,"2018 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 117 555 км",$ 21 999,https://im.mashina.kg/tachka/images//5/5/a/55a389961b61c84cd50ad16343af98a6_240x180.jpg
Subaru Forester,"2016 г., 2.5 л., вариатор, внедорожник 5 дв., бензин, руль слева, 145 000 км",$ 16 700,https://im.mashina.kg/tachka/images//7/f/a/7fa080e8e206a05edd85d7068d32fa83_240x180.jpg
Toyota RAV4,"2018 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 127 000 км",$ 22 000,https://im.mashina.kg/tachka/images//0/4/1/041d9675094d1e1633b84bbbe442388c_240x180.jpg
Hyundai Sonata,"2016 г., 2 л., автомат, седан, газ, руль слева, 186 000 км",$ 11 999,https://im.mashina.kg/tachka/images//2/b/7/2b7f5bd3990d88b1a08afe5f2d4d1a12_240x180.jpg
BMW X5,"2022 г., 3 л., автомат, внедорожник 5 дв., гибрид, руль слева, 35 км",$ 132 000,https://im.mashina.kg/tachka/images//b/4/d/b4d811714b1c7a3c6aa44ee2942b02b7_240x180.jpg
Hyundai Palisade,"2020 г., 3.8 л., автомат, внедорожник 5 дв., бензин, руль слева, 30 000 км",$ 43 000,https://im.mashina.kg/tachka/images//1/b/a/1bacda34a3bb5bfb379cb6c92d7c922b_240x180.jpg
Genesis GV80,"2021 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 72 600 км",$ 77 000,https://im.mashina.kg/tachka/images//2/f/b/2fbbaea8d9ed19345d82d38407be3c15_240x180.jpg
Kia Sportage,"2020 г., 2.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 17 000 км",$ 30 000,https://im.mashina.kg/tachka/images//e/c/5/ec5584b16e98c1388e9f2a25a935225c_240x180.jpg
Hyundai Sonata,"2016 г., 2 л., автомат, седан, бензин, руль слева, 93 580 км",$ 13 900,https://im.mashina.kg/tachka/images//c/b/5/cb56ca209f4fcb03820f4ab6814ae6ad_240x180.jpg
BMW X5,"2017 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 100 000 км",$ 45 000,https://im.mashina.kg/tachka/images//9/3/6/9364b76f39693cb08f956a21cbcdf51f_240x180.jpg
Toyota RAV4,"2016 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 191 978 км",$ 23 000,https://im.mashina.kg/tachka/images//4/8/7/4878e28d298990aa144c2f24ec388f89_240x180.jpg
Kia Sorento,"2018 г., 2.2 л., автомат, внедорожник 5 дв., дизель, руль слева, 112 000 км",$ 23 200,https://im.mashina.kg/tachka/images//7/1/8/718aa82346418bf1ae8820055947dbe3_240x180.jpg
Kia Sorento,"2016 г., 2.2 л., автомат, внедорожник 5 дв., дизель, руль слева, 159 698 км",$ 22 500,https://im.mashina.kg/tachka/images//c/9/7/c97d0297f53ff2a786a1b1c601f47f24_240x180.jpg
Toyota RAV4,"2017 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 114 731 км",$ 21 500,https://im.mashina.kg/tachka/images//e/6/b/e6b91ba8fc173880b74d32198634782e_240x180.jpg
Toyota RAV4,"2018 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 49 916 км",$ 28 200,https://im.mashina.kg/tachka/images//1/3/f/13f97a22d8424f3f30572c0637586ccd_240x180.jpg
Toyota Land Cruiser,"2010 г., 4.5 л., автомат, внедорожник 5 дв., дизель, руль слева, 200 000 км",$ 33 000,https://im.mashina.kg/tachka/images//f/4/4/f44b284856f5508d5040f8d7dc838f38_240x180.jpg
Honda Jazz,"2005 г., 1.5 л., вариатор, хэтчбек 5 дв., бензин, руль слева, 256 482 км",$ 7 550,https://im.mashina.kg/tachka/images//c/a/f/cafc132b0ff470dd50ba8c9aebeb4b13_240x180.jpg
Daewoo Nexia,"2007 г., 1.6 л., механика, седан, бензин, руль слева, 88 927 км",$ 1 991,https://im.mashina.kg/tachka/images//b/b/6/bb63777d8665d427258769985c354f84_240x180.jpg
Kia K5 II Седан,"2019 г., 2 л., автомат, седан, газ, руль слева, 117 000 км",$ 12 900,https://im.mashina.kg/tachka/images//9/d/1/9d1aa390d3334a2eae86238a77002da9_240x180.jpg
Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 65 000 км",$ 29 000,https://im.mashina.kg/tachka/images//d/1/0/d10c09951be27754d754d679a1a4d0e6_240x180.jpg
ВАЗ (Lada) 2107,"2009 г., 1.6 л., механика, седан, бензин, руль слева, 65 000 км",$ 2 276,https://im.mashina.kg/tachka/images//3/b/9/3b967dbe43554e9ff99139cc9bc8a6f4_240x180.jpg
Lexus LX,"2014 г., 5.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 127 000 км",$ 56 500,https://im.mashina.kg/tachka/images//e/7/7/e7714c54816bbae511b52b4864fca154_240x180.jpg
Kia Carnival,"2021 г., 3.5 л., автомат, минивэн, бензин, руль слева, 22 196 км",$ 38 400,https://im.mashina.kg/tachka/images//b/b/6/bb66025ea84b2e3a263ceb4406986899_240x180.jpg
Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 76 000 км",$ 25 500,https://im.mashina.kg/tachka/images//9/e/3/9e3424be941d61fc0d1db968a958197b_240x180.jpg
Toyota Camry,"2016 г., 2.5 л., автомат, седан, бензин, руль слева, 100 000 км",$ 16 800,https://im.mashina.kg/tachka/images//3/f/d/3fd03f856de94cee24dfbcca43ef2f9a_240x180.jpg
Kia K5 II Седан,"2019 г., 2 л., автомат, седан, газ, руль слева, 107 000 км",$ 13 100,https://im.mashina.kg/tachka/images//a/0/4/a0405a9f64586ae1b4df3663cb3d6e78_240x180.jpg
Lexus ES,"2017 г., 2.5 л., вариатор, седан, гибрид, руль слева, 46 600 км",$ 29 500,https://im.mashina.kg/tachka/images//3/6/b/36bdf7d2ac5282eab8ff3905e90d300b_240x180.jpg
Honda CR-V,"2002 г., 2 л., автомат, внедорожник 5 дв., бензин, руль справа, 294 000 км",$ 8 300,https://im.mashina.kg/tachka/images//6/e/7/6e7b3c0f080ea46cc2e88de593a0459d_240x180.jpg
Honda Inspire,"2004 г., 3 л., автомат, седан, бензин, руль справа, 225 300 км",$ 7 800,https://im.mashina.kg/tachka/images//4/f/0/4f094a37cf75c266a862dc137bf472e2_240x180.jpg
Opel Corsa,"2007 г., 1.2 л., механика, хэтчбек 3 дв., бензин, руль слева, 164 869 км",$ 5 121,https://im.mashina.kg/tachka/images//6/4/4/644b7a5993760414201888814d3119ca_240x180.jpg
BYD Han,"2022 г., автомат, седан, электро, руль слева, 1 км",$ 43 000,https://im.mashina.kg/tachka/images//7/6/1/7614b15a03d72dcc6bd4ea46af0927bb_240x180.jpg
Chevrolet Spark,"2014 г., 1 л., автомат, хэтчбек 5 дв., бензин, руль слева, 85 000 км",$ 7 000,https://im.mashina.kg/tachka/images//3/a/c/3ac4d08f6266322a8a03c5254033f3da_240x180.jpg
BMW 5 серии,"2008 г., 4.8 л., автомат, седан, бензин, руль слева, 220 000 км",$ 18 000,https://im.mashina.kg/tachka/images//f/a/9/fa99e002467aa9d2e5404003eeeb2957_240x180.jpg
Toyota RAV4,"2016 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 74 000 км",$ 22 000,https://im.mashina.kg/tachka/images//4/4/a/44ab72d87eb66d973a039b93aadfd8da_240x180.jpg
Weltmeister EX5,"2021 г., автомат, внедорожник 5 дв., электро, руль слева, 1 км",$ 21 000,https://im.mashina.kg/tachka/images//d/6/c/d6c820791503025d7b3bcdb2893d0d57_240x180.jpg
BMW X7,"2020 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 89 000 км",$ 120 000,https://im.mashina.kg/tachka/images//0/0/e/00ea9b817f6c6b252b562290a6a39eb2_240x180.jpg
Lexus RX,"2019 г., 2 л., автомат, внедорожник 5 дв., бензин, руль слева, 60 000 км",$ 49 500,https://im.mashina.kg/tachka/images//7/6/4/7642abb70270fd186311d7cd2f4f5ce2_240x180.jpg
Honda e:NP1,"2022 г., автомат, внедорожник 5 дв., электро, руль слева, 1 км",$ 28 000,https://im.mashina.kg/tachka/images//5/2/9/529612407dd06e87c1ef584205d1e146_240x180.jpg
Lexus RX,"2020 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 39 000 км",$ 71 000,https://im.mashina.kg/tachka/images//e/d/9/ed973381501597458e0dc4c7b50d9ce2_240x180.jpg
Toyota Prius,"2016 г., 1.8 л., вариатор, хэтчбек 5 дв., гибрид, руль слева, 211 400 км",$ 16 800,https://im.mashina.kg/tachka/images//6/d/6/6d65dbe7b7e3dd48a8c5640ba4713587_240x180.jpg
Land Rover Range Rover,"2019 г., 4.4 л., автомат, внедорожник 5 дв., дизель, руль слева, 87 000 км",$ 105 000,https://im.mashina.kg/tachka/images//6/2/3/623780f0ac352e945592beb58b34e0bc_240x180.jpg
BMW X5,"2018 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 55 768 км",$ 85 000,https://im.mashina.kg/tachka/images//a/f/d/afdde128de9aef7a3489204ec4653259_240x180.jpg
Kia Sorento,"2017 г., 2.2 л., автомат, внедорожник 5 дв., дизель, руль слева, 141 000 км",$ 28 500,No image
Toyota Prius,"2012 г., 1.8 л., автомат, хэтчбек 5 дв., гибрид, руль слева, 240 000 км",$ 14 500,https://im.mashina.kg/tachka/images//c/1/c/c1cfed6b380663f5debf808d6991fda9_240x180.jpg
Hyundai Santa Fe,"2018 г., 2.2 л., автомат, внедорожник 5 дв., дизель, руль слева, 115 000 км",$ 31 500,https://im.mashina.kg/tachka/images//1/0/d/10decb72af56a9f5c83b2072ff81fcf6_240x180.jpg
BMW X7,"2020 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 68 000 км",$ 117 000,https://im.mashina.kg/tachka/images//c/3/c/c3c1eab5a0ed8a4848ac4c2e55921889_240x180.jpg
BMW 7 серии,"2017 г., 4.4 л., автомат, седан, бензин, руль слева, 145 000 км",$ 53 900,https://im.mashina.kg/tachka/images//0/3/a/03a203de9be6474c5e41a002af625b60_240x180.jpg
Toyota Camry,"2016 г., 2.5 л., автомат, седан, бензин, руль слева, 180 000 км",$ 16 900,https://im.mashina.kg/tachka/images//f/2/d/f2db553e5723944462652cc1b4f26545_240x180.jpg
Lexus LX,"2007 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 228 000 км",$ 31 500,https://im.mashina.kg/tachka/images//c/9/f/c9f5e503167010ba90ad8181a9723c8b_240x180.jpg
Hyundai Santa Fe,"2018 г., 2 л., автомат, внедорожник 5 дв., дизель, руль слева, 91 000 км",$ 27 000,https://im.mashina.kg/tachka/images//3/6/f/36f0448eca3e6da5c69cbf622f2f0848_240x180.jpg
Daewoo Matiz,"2006 г., 0.8 л., механика, хэтчбек 5 дв., бензин, руль слева, 170 000 км",$ 2 674,https://im.mashina.kg/tachka/images//4/4/e/44e53733e13ddc988fa370536d01298c_240x180.jpg
Honda Stepwgn,"2004 г., 2.4 л., автомат, минивэн, бензин, руль справа, 185 698 км",$ 9 500,https://im.mashina.kg/tachka/images//9/2/b/92b5ee8bfad0361c099595e6d015d7a2_240x180.jpg
Hyundai Tucson,"2017 г., 1.7 л., механика, внедорожник 5 дв., дизель, руль слева, 103 500 км",$ 13 750,https://im.mashina.kg/tachka/images//d/a/0/da06b7bb1b7a13e62773a372443dac4e_240x180.jpg
Daewoo Matiz,"2003 г., 0.8 л., механика, хэтчбек 5 дв., бензин, руль слева, 260 373 км",$ 2 276,https://im.mashina.kg/tachka/images//9/c/8/9c839f4e37c3cd742ed01162a9b48867_240x180.jpg
Kia Mohave (Borrego),"2021 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 28 200 км",$ 44 500,https://im.mashina.kg/tachka/images//1/7/9/1798715450e3cc943d271cd01c687b5f_240x180.jpg
BMW X5,"2021 г., 3 л., автомат, внедорожник 5 дв., гибрид, руль слева, 6 992 км",$ 76 700,https://im.mashina.kg/tachka/images//e/9/d/e9dbe87f93e84f8124de57d990524659_240x180.jpg
Mercedes-Benz E-класс,"2001 г., 4.3 л., автомат, седан, бензин, руль слева, 191 500 км",$ 11 500,https://im.mashina.kg/tachka/images//5/3/d/53d75bb76c447e98ba6176d26715209f_240x180.jpg
Hyundai Tucson,"2018 г., 2 л., автомат, внедорожник 5 дв., бензин, руль слева, 85 000 км",$ 22 500,https://im.mashina.kg/tachka/images//e/7/9/e79be2a69577d512aed0f198c37b2666_240x180.jpg
BMW 5 серии,"2002 г., 2.2 л., автомат, седан, бензин, руль слева, 111 111 км",$ 6 827,https://im.mashina.kg/tachka/images//f/4/2/f4202d445f7103c5b4ba0c87d1699d3f_240x180.jpg
Kia Carnival,"2021 г., 2.2 л., автомат, минивэн, дизель, руль слева, 87 770 км",$ 29 100,https://im.mashina.kg/tachka/images//a/0/d/a0d7ba44b188091a9fdf2d3c21235205_240x180.jpg
Mazda CX-7,"2008 г., 2.3 л., автомат, внедорожник 5 дв., бензин, руль слева, 160 000 км",$ 7 500,https://im.mashina.kg/tachka/images//8/c/6/8c686085f71447e4ec719d6edb568e5c_240x180.jpg
BMW X3,"2020 г., 2 л., автомат, внедорожник 5 дв., гибрид, руль слева, 15 100 км",$ 53 800,https://im.mashina.kg/tachka/images//f/4/c/f4c81f61637f57511551b5731048158e_240x180.jpg
Hyundai Sonata,"2018 г., 2 л., автомат, седан, бензин, руль слева, 105 000 км",$ 13 500,https://im.mashina.kg/tachka/images//0/c/c/0cc8774f9069dd47b0984a411a135202_240x180.jpg
BMW X5,"2022 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 1 768 км",$ 92 800,https://im.mashina.kg/tachka/images//7/4/e/74eb457d82d6b043989edd19abcd5337_240x180.jpg
Chevrolet Spark,"2016 г., 1 л., вариатор, хэтчбек 5 дв., бензин, руль слева, 112 000 км",$ 8 000,https://im.mashina.kg/tachka/images//7/0/9/7097352c63c899a7a50514e49004182b_240x180.jpg
Hyundai Santa Fe,"2018 г., 2.2 л., автомат, внедорожник 5 дв., дизель, руль слева, 98 367 км",$ 25 900,https://im.mashina.kg/tachka/images//4/1/d/41d907739860d3f1b1ff20280275d43f_240x180.jpg
Toyota RAV4,"2020 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 43 400 км",$ 39 800,https://im.mashina.kg/tachka/images//9/3/5/93537ccca0f3af248372bde720a82036_240x180.jpg
Kia K7,"2016 г., 3.3 л., автомат, седан, бензин, руль слева, 116 000 км",$ 21 000,https://im.mashina.kg/tachka/images//5/1/2/5128f656d49ae63dbe8ddcbd491a55ac_240x180.jpg
Subaru Outback,"2019 г., 2.5 л., вариатор, универсал, бензин, руль слева, 37 000 км",$ 21 500,https://im.mashina.kg/tachka/images//3/0/2/30290c80e28092dc990cc67264408f7e_240x180.jpg
